"lemma"
A
Abend
abgeben
Abgeordnete
Ablauf
ablehnen
Abs.
abschließen
Abschluß
absehen
absolut
absolvieren
Abstand
Abteilung
acht
Adresse
AG
ähnlich
Aktie
Aktion
aktiv
Aktivität
aktuell
akzeptieren
Album
all
allein
alleine
allgemein
Alltag
Alter
alternativ
Alternative
amerikanisch
Amt
Analyse
anbieten
Anbieter
andererseits
ändern
anders
Änderung
Anfang
anfangen
Anforderung
Anfrage
Angabe
angeblich
Angebot
angehen
Angehörige
Angeklagte
angenehm
angesichts
Angriff
Angst
anhand
ankommen
ankündigen
Anlage
Anlaß
anlegen
anmelden
Anmeldung
annehmen
anpassen
ans
Ansatz
anschauen
anschließend
Anschluß
ansehen
Ansicht
ansonsten
ansprechen
Anspruch
Anteil
Antrag
antreten
Antwort
antworten
Anwalt
Anwendung
Anzahl
Anzeige
anzeigen
App
April
arbeiten
Arbeitgeber
Arbeitnehmer
Arbeitsplatz
Art
Artikel
Arzt
Aspekt
Atmosphäre
attraktiv
Aufbau
aufbauen
Aufgabe
aufgrund
Auflage
aufmerksam
Aufmerksamkeit
Aufnahme
aufnehmen
aufs
aufstellen
Auftrag
auftreten
Auftritt
Aufzug
Auge
August
Ausbau
ausbauen
Ausbildung
Ausdruck
ausdrücklich
ausführlich
Ausgabe
ausgehen
Auskunft
Ausland
Ausnahme
ausprobieren
ausreichend
Aussage
ausschließen
ausschließlich
aussehen
außen
außer
außerdem
außerhalb
äußern
äußerst
Aussicht
ausstatten
Ausstellung
Austausch
Auswahl
auswählen
Auswirkung
auszeichnen
Auto
automatisch
Autor
b
Baby
Bad
Bahn
Bahnhof
bald
Ball
Band
Bank
barrierefrei
Basis
Bau
bauen
Bauer
Baum
Bayer
bayerisch
Bayern
beachten
Beamte
beantragen
beantworten
Bedarf
bedeuten
Bedeutung
bedienen
Bedingung
Bedürfnis
beeinflussen
beenden
befinden
Begegnung
begeistert
Beginn
beginnen
begleiten
Begriff
begründen
begrüßen
behalten
behandeln
Behandlung
behaupten
Behörde
Bein
Beispiel
beispielsweise
Beitrag
beitragen
bekannt
Beklagte
belegen
beliebt
benötigen
benutzen
beobachten
bequem
beraten
Beratung
Bereich
bereit
bereiten
Berg
Bericht
berichten
Berliner
berücksichtigen
Beruf
beruflich
berühmt
beschäftigen
Beschäftigte
beschließen
Beschluß
beschreiben
Beschreibung
Beschwerde
besetzen
besitzen
besonders
bestätigen
Beste
bestehen
bestellen
Bestellung
bestimmen
bestreiten
Besuch
besuchen
Besucher
beteiligen
Beteiligte
Beteiligung
betonen
betrachten
Betrag
betragen
betreffen
betreiben
betreuen
Betrieb
Betroffene
Bett
Bevölkerung
bevor
bewegen
Bewegung
beweisen
bewerten
Bewertung
Bewohner
