"lemma"
A
ä
Ä
A-Dur
A-Jugend
AA
Aal
Aar
Aargau
Aas
ab
Aba
abändern
Abänderung
abarbeiten
Abarbeitung
abartig
Abb.
Abba
Abbau
abbaubar
abbauen
abbekommen
abberufen
Abberufung
abbestellen
abbezahlen
abbiegen
Abbild
abbilden
Abbildung
abblasen
abblenden
Abblendlicht
abblitzen
abblocken
abbrechen
abbremsen
abbrennen
abbringen
Abbruch
Abbrucharbeit
abbuchen
Abbuchung
Abc
Abc-Schütze
abdanken
Abdankung
abdecken
Abdeckung
abdichten
Abdichtung
abdrängen
abdrehen
abdriften
Abdruck
abdrucken
abdrücken
abdunkeln
abebben
Abend
Abendblatt
Abendbrot
Abenddämmerung
abendfüllend
Abendgebet
Abendgottesdienst
Abendhimmel
Abendkasse
Abendkleid
Abendkurs
Abendland
abendländisch
abendlich
Abendlicht
Abendmahl
Abendmahlsgottesdienst
Abendmesse
Abendmusik
Abendprogramm
Abendrot
abends
Abendschule
Abendsonne
Abendspaziergang
Abendstunde
Abendveranstaltung
Abendzeitung
Abenteuer
Abenteuerfilm
abenteuerlich
Abenteuerlust
abenteuerlustig
Abenteuerreise
Abenteuerspielplatz
Abenteurer
aber
Aberglaube
abergläubisch
aberkennen
Aberkennung
abermalig
abermals
abernten
abertausend
aberwitzig
abfackeln
abfahren
Abfahrt
Abfahrtszeit
Abfall
Abfallbehälter
Abfalleimer
abfallen
Abfallentsorgung
abfällig
Abfallkalender
Abfallprodukt
Abfallwirtschaft
Abfallwirtschaftsbetrieb
abfälschen
abfangen
abfärben
abfassen
abfedern
abfeiern
abfertigen
Abfertigung
abfeuern
abfinden
Abfindung
abflachen
abflauen
abfliegen
abfließen
Abflug
Abfluß
Abfolge
abfordern
abfotografieren
Abfrage
abfragen
Abfuhr
abführen
abfüllen
Abfüller
Abfüllung
Abgabe
Abgabenordnung
Abgabetermin
Abgang
Abgas
Abgasanlage
Abgasnorm
Abgasreinigung
Abgaswert
abgeben
abgebrüht
abgehen
abgelten
Abgeltung
Abgeltungssteuer
Abgeordnete
Abgeordnetenhaus
Abgeordnetenkammer
Abgesandte
Abgesang
abgeschieden
Abgeschiedenheit
Abgeschlagenheit
abgewinnen
abgewöhnen
abgießen
Abgleich
abgleichen
abgleiten
abgraben
abgreifen
abgrenzen
Abgrenzung
Abgrund
abgründig
abgrundtief
abgucken
abhacken
abhaken
abhalten
Abhaltung
abhandeln
abhandenkommen
Abhandlung
Abhang
abhangen
abhängen
abhängig
Abhängige
Abhängigkeit
abhauen
abheben
Abhebung
abhelfen
Abhilfe
abholbereit
abholen
Abholung
abholzen
Abholzung
abhören
Abi
Abiball
Abitur
Abiturient
Abiturientin
Abiturjahrgang
Abiturprüfung
abjagen
abkassieren
abkaufen
Abkehr
abklappern
abklären
Abklärung
Abklatsch
abklatschen
abkleben
abklingen
abklopfen
abknöpfen
abkochen
abkommandieren
abkommen
Abkommen
Abkömmling
abkoppeln
abkühlen
Abkühlung
abkupfern
abkürzen
Abkürzung
abladen
Ablage
ablagern
Ablagerung
Ablaß
ablassen
Ablauf
Ablaufdatum
ablaufen
Ablaufplan
Ableben
ablegen
Ableger
ablehnen
Ablehnung
ableisten
ableiten
Ableitung
ablenken
Ablenkung
Ablenkungsmanöver
ablesbar
ablesen
ablichten
abliefern
Ablieferung
ablöschen
Ablöse
ablösefrei
ablösen
Ablösesumme
Ablösung
Abluft
ABM
abmachen
Abmachung
abmagern
abmahnen
Abmahnschreiben
Abmahnung
Abmarsch
abmelden
Abmeldung
abmessen
abmildern
abmontieren
abmühen
Abnahme
abnehmbar
abnehmen
Abnehmer
Abneigung
abnicken
abnorm
abnormal
abnutzen
Abnutzung
Abo
Abonnement
Abonnent
abonnieren
Abordnung
Aborigine
abpfeifen
Abpfiff
abprallen
Abpraller
abpumpen
Abraham
abraten
abräumen
Abräumer
abrechnen
Abrechnung
Abrechnungszeitraum
Abrede
abreiben
Abreise
abreisen
Abreisetag
Abrieb
abriebfest
abriegeln
abringen
Abriß
Abrißarbeit
Abrißbirne
abrollen
abrücken
Abruf
abrufbar
abrufen
abrunden
Abrundung
abrupt
Abrüstung
abrutschen
Abs.
absacken
Absage
absagen
absägen
absahnen
Absatz
Absatzmarkt
Absatzzahl
absaufen
absaugen
abschaffen
Abschaffung
Abschalteinrichtung
abschalten
Abschaltung
abschätzbar
abschätzen
abschätzig
Abschätzung
abschauen
Abschaum
Abscheu
abscheulich
abschicken
Abschiebehaft
abschieben
Abschiebung
Abschied
Abschiedsbrief
Abschiedsfeier
Abschiedsgeschenk
Abschiedsrede
Abschiedsspiel
abschießen
abschirmen
Abschirmung
abschlachten
Abschlag
abschlagen
abschlägig
Abschlagszahlung
abschleifen
Abschleppdienst
abschleppen
abschließbar
abschließen
Abschluß
Abschlußarbeit
Abschlußbericht
Abschlußerklärung
Abschlußfahrt
Abschlußfeier
Abschlußklasse
Abschlußkonzert
Abschlußkundgebung
Abschlußprüfung
Abschlußtabelle
Abschlußtraining
Abschlußveranstaltung
Abschlußzeugnis
abschmecken
abschmelzen
abschmettern
abschminken
abschneiden
Abschnitt
abschnittsweise
abschöpfen
abschotten
Abschottung
abschrauben
abschrecken
Abschreckung
abschreiben
Abschreibung
Abschrift
Abschuß
abschüssig
abschütteln
abschwächen
Abschwächung
abschweifen
abschwören
Abschwung
absegnen
absehbar
absehen
abseihen
abseilen
abseitig
abseits
Abseitsstellung
absenden
Absender
Absendung
absenken
Absenkung
Absenz
abservieren
absetzbar
absetzen
Absetzung
absichern
Absicherung
Absicht
absichtlich
Absichtserklärung
absinken
Absinth
absitzen
absolut
Absolution
absolutistisch
Absolvent
absolvieren
Absolvierung
absonderlich
absondern
Absonderung
absorbieren
Absorption
abspalten
Abspaltung
Abspann
abspecken
abspeichern
abspeisen
Absperrband
absperren
Absperrgitter
Absperrung
Abspiel
abspielen
Abspielgerät
Absprache
absprechen
abspringen
Absprung
abspulen
abspülen
abstammen
Abstammung
Abstand
Abstandsregel
abstatten
abstauben
Abstauber
abstechen
Abstecher
abstecken
abstehen
Absteige
absteigen
Absteiger
abstellen
Abstellgleis
Abstellkammer
Abstellplatz
Abstellraum
abstempeln
absterben
Abstieg
abstiegsbedroht
Abstiegsgefahr
abstiegsgefährdet
Abstiegskampf
Abstiegskandidat
Abstiegsplatz
Abstiegsrang
Abstiegsrunde
Abstiegssorge
Abstiegszone
abstimmen
Abstimmung
Abstimmungsergebnis
Abstimmungskampf
Abstimmungsproblem
Abstimmungsverhalten
Abstinenz
abstoßen
abstrafen
abstrahieren
abstrahlen
abstrakt
Abstraktion
abstreifen
abstreiten
Abstrich
abstrus
abstufen
Abstufung
abstumpfen
Absturz
abstürzen
Absturzsicherung
abstützen
absuchen
absurd
Absurdität
Abszeß
Abt
Abt.
abtasten
abtauchen
Abtei
Abteikirche
Abteil
Abteilung
Abteilungsleiter
Abteilungsleiterin
Äbtissin
abtöten
abtragen
abträglich
Abtransport
abtransportieren
abtreiben
Abtreibung
abtrennen
Abtrennung
abtreten
Abtretung
abtrocknen
abtropfen
abtrotzen
abtrünnig
Abtrünnige
Abu
aburteilen
Abverkauf
abverlangen
abwägen
Abwägung
Abwahl
abwählen
abwälzen
abwandeln
Abwandelung
abwandern
Abwanderung
Abwärme
Abwart
abwarten
abwärts
Abwärtsspirale
Abwärtstrend
Abwasch
abwaschbar
abwaschen
Abwasser
Abwasseranlage
Abwasserbeseitigung
Abwasserentsorgung
Abwassergebühr
Abwasserkanal
Abwasserleitung
Abwasserzweckverband
abwechseln
Abwechselung
Abweg
abwegig
Abwehr
Abwehrarbeit
Abwehrchef
abwehren
Abwehrfehler
Abwehrkampf
Abwehrkraft
Abwehrleistung
Abwehrreihe
Abwehrseite
Abwehrspieler
Abwehrsystem
Abwehrverhalten
Abwehrzentrum
abweichen
Abweichler
Abweichung
abweisen
abweisend
Abweisung
abwenden
Abwendung
abwerben
abwerfen
abwerten
Abwertung
abwesend
Abwesenheit
abwickeln
Abwicklung
abwiegen
abwinken
abwischen
Abwrackprämie
Abwurf
abwürgen
abzahlen
abzählen
abzapfen
Abzeichen
abzeichnen
abziehbar
abziehen
abzielen
Abzocke
abzocken
Abzocker
Abzug
abzugsfähig
Abzweig
abzweigen
Abzweigung
Ac
Accessoire
Account
Ace
ach
Achat
Ache
Achilles
Achillesferse
Achillessehne
Achse
Achsel
acht
achtbar
Achtel
Achtelfinale
ächten
Achter
Achterbahn
Achterbahnfahrt
achtfach
achtlos
achtmal
achtsam
Achtsamkeit
Achtung
Ächtung
Achtungserfolg
achtzehn
achtzig
achtziger
ächzen
Acid
Acker
Ackerbau
Ackerfläche
Ackerland
Ackermann
ackern
Acryl
Acrylfarbe
Acrylglas
Acrylmalerei
Action
Actionfilm
Actionszene
Adagio
Adam
Adapter
adaptieren
Adaption
adaptiv
adäquat
